NAME,HOURS OF OPERATION,CYBERNAVIGATOR,TEACHER IN THE LIBRARY,ADDRESS,CITY,STATE,ZIP,PHONE,WEBSITE,LATITUDE,LONGITUDE
Canaryville,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,642 W. 43rd Street,CHICAGO,IL,60609,(312) 747-0644,http://www.chipublib.org/locations/2/,,
Chicago Bee,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,3647 S. State Street,CHICAGO,IL,60609,(312) 747-6872,http://www.chipublib.org/locations/29/,,
Chicago Lawn,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,6120 S. Kedzie Avenue,CHICAGO,IL,60629,(312) 747-0639,http://www.chipublib.org/locations/19/,,
Chinatown,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,2100 S. Wentworth Avenue,CHICAGO,IL,60616,(312) 747-8013,http://www.chipublib.org/locations/20/,,
Clearing,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,6423 W. 63rd Place,CHICAGO,IL,60638,(312) 747-5657,http://www.chipublib.org/locations/21/,,
Coleman,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,731 E. 63rd Street,CHICAGO,IL,60637,(312) 747-7760,http://www.chipublib.org/locations/18/,,
Daley; Richard J.-Bridgeport,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,3400 S. Halsted Street,CHICAGO,IL,60608,(312) 747-8990,http://www.chipublib.org/locations/14/,,
Daley; Richard M.-W Humboldt,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,733 N. Kedzie Avenue,CHICAGO,IL,60612,(312) 743-0555,http://www.chipublib.org/locations/173/,,
Douglass,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,3353 W. 13th Street,CHICAGO,IL,60623,(312) 747-3725,http://www.chipublib.org/locations/23/,,
Dunning,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,7455 W. Cornelia Avenue,CHICAGO,IL,60634,(312) 743-0480,http://www.chipublib.org/locations/82/,,
Edgebrook,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,5331 W. Devon Avenue,CHICAGO,IL,60646,(312) 744-8313,http://www.chipublib.org/locations/27/,,
Edgewater,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,6000 N. Broadway Street,CHICAGO,IL,60660,(312) 744-0718,http://www.chipublib.org/locations/28/,,
Gage Park,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,2807 W. 55th Street,CHICAGO,IL,60632,(312) 747-0032,http://www.chipublib.org/locations/30/,,
Galewood-Mont Clare,M-TH: 10AM-6PM| F: 9AM-5PM| SA; SU: Closed,No,Yes,6871 W. Belden Avenue,CHICAGO,IL,60707,(312) 746-0165,http://www.chipublib.org/locations/31/,,
Garfield Ridge,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,6348 S. Archer Avenue,CHICAGO,IL,60638,(312) 747-6094,http://www.chipublib.org/locations/26/,,
Greater Grand Crossing,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,1000 East 73rd Street,CHICAGO,IL,60619,(312) 745-1608,http://www.chipublib.org/locations/172/,,
Hall,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,4801 S. Michigan Avenue,CHICAGO,IL,60615,(312) 747-2541,http://www.chipublib.org/locations/33/,,
Harold Washington-HWLC,M-TH: 9AM-9PM| F; SA: 9AM-5PM| SU: 1PM-5PM,Yes,Yes,400 S. State Street,CHICAGO,IL,60605,(312) 747-4300,http://www.chipublib.org/locations/15/,,
Hegewisch,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,3048 E. 130th Street,CHICAGO,IL,60633,(312) 747-0046,http://www.chipublib.org/locations/95/,,
Humboldt Park,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,1605 N. Troy Street,CHICAGO,IL,60647,(312) 744-2244,http://www.chipublib.org/locations/39/,,
Independence,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,3548 W. Irving Park Road,CHICAGO,IL,60618,(312) 744-0900,http://www.chipublib.org/locations/41/,,
Jefferson Park,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,5363 W. Lawrence Avenue,CHICAGO,IL,60630,(312) 744-1998,http://www.chipublib.org/locations/37/,,
Jeffery Manor,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,2401 E. 100th Street,CHICAGO,IL,60617,(312) 747-6479,http://www.chipublib.org/locations/43/,,
Kelly,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,6151 S. Normal Boulevard,CHICAGO,IL,60621,(312) 747-8418,http://www.chipublib.org/locations/44,,
King,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,3436 S. King Drive,CHICAGO,IL,60616,(312) 747-7543,http://www.chipublib.org/locations/45,,
Legler,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,115 S. Pulaski Road,CHICAGO,IL,60624,(312) 746-7730,http://www.chipublib.org/locations/47,,
Lincoln Belmont,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,1659 W. Melrose Street,CHICAGO,IL,60657,(312) 744-0166,http://www.chipublib.org/locations/68,,
Lincoln Park,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,1150 W. Fullerton Avenue,CHICAGO,IL,60614,(312) 744-1926,http://www.chipublib.org/locations/48,,
Little Village,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,2311 S. Kedzie Avenue,CHICAGO,IL,60623,(312) 745-1862,http://www.chipublib.org/locations/51,,
Logan Square,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,3030 W. Fullerton Avenue,CHICAGO,IL,60647,(312) 744-5295,http://www.chipublib.org/locations/49,,
Lozano,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,1805 S. Loomis Street,CHICAGO,IL,60608,(312) 746-4329,http://www.chipublib.org/locations/62,,
Manning,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,6 S. Hoyne Avenue,CHICAGO,IL,60612,(312) 746-6800,http://www.chipublib.org/locations/55,,
Mayfair,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,4400 W. Lawrence Avenue,CHICAGO,IL,60630,(312) 744-1254,http://www.chipublib.org/locations/52,,
McKinley Park,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,1915 W. 35th Street,CHICAGO,IL,60609,(312) 747-6082,http://www.chipublib.org/locations/50,,
Merlo,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,644 W. Belmont Avenue,CHICAGO,IL,60657,(312) 744-1139,http://www.chipublib.org/locations/46,,
Mount Greenwood,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,11010 S. Kedzie Avenue,CHICAGO,IL,60655,(312) 747-2805,http://www.chipublib.org/locations/54,,
Near North,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,310 W. Division Street,CHICAGO,IL,60610,(312) 744-0991,http://www.chipublib.org/locations/60,,
North Austin,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,5724 W. North Avenue,CHICAGO,IL,60639,(312) 746-4233,http://www.chipublib.org/locations/56,,
North Pulaski,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,4300 W. North Avenue,CHICAGO,IL,60639,(312) 744-9573,http://www.chipublib.org/locations/58,,
Northtown,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,6435 N. California Avenue,CHICAGO,IL,60645,(312) 744-2292,http://www.chipublib.org/locations/59,,
Oriole Park,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,7454 W. Balmoral Avenue,CHICAGO,IL,60656,(312) 744-1965,http://www.chipublib.org/locations/61,,
Portage-Cragin,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,5108 W. Belmont Avenue,CHICAGO,IL,60641,(312) 744-0152,http://www.chipublib.org/locations/63,,
Pullman,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,11001 S. Indiana Avenue,CHICAGO,IL,60628,(312) 747-2033,http://www.chipublib.org/locations/64,,
Roden,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,6083 N. Northwest Highway,CHICAGO,IL,60631,(312) 744-1478,http://www.chipublib.org/locations/100,,
Rogers Park,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,6907 N. Clark Street,CHICAGO,IL,60626,(312) 744-0156,http://www.chipublib.org/locations/121,,
Roosevelt,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,1101 W. Taylor Street,CHICAGO,IL,60607,(312) 746-5656,http://www.chipublib.org/locations/122,,
Scottsdale,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,4101 W. 79th Street,CHICAGO,IL,60652,(312) 747-0193,http://www.chipublib.org/locations/69,,
Sherman Park,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,5440 S. Racine Avenue,CHICAGO,IL,60609,(312) 747-0477,http://www.chipublib.org/locations/70,,
South Chicago,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,9055 S. Houston Avenue,CHICAGO,IL,60617,(312) 747-8065,http://www.chipublib.org/locations/73,,
South Shore,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,2505 E. 73rd Street,CHICAGO,IL,60649,(312) 747-5281,http://www.chipublib.org/locations/74,,
Sulzer Regional,M-TH: 9AM-9PM| F; SA: 9AM-5PM| SU: 1PM-5PM,Yes,Yes,4455 N. Lincoln Avenue,CHICAGO,IL,60625,(312) 744-7616,http://www.chipublib.org/locations/38,,
Thurgood Marshall,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,7506 S. Racine Avenue,CHICAGO,IL,60620,(312) 747-5927,http://www.chipublib.org/locations/5,,
Toman,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,2708 S. Pulaski Road,CHICAGO,IL,60623,(312) 745-1660,http://www.chipublib.org/locations/78,,
Uptown,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,929 W. Buena Avenue,CHICAGO,IL,60613,(312) 744-8400,http://www.chipublib.org/locations/87,,
Vodak-East Side,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,3710 E. 106th Street,CHICAGO,IL,60617,(312) 747-5500,http://www.chipublib.org/locations/24,,
Walker,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,11071 S. Hoyne Avenue,CHICAGO,IL,60643,(312) 747-1920,http://www.chipublib.org/locations/80,,
Water Works,M-TH: 9AM-7PM| F; SA: 9AM-5PM| SU: 1PM-5PM,No,Yes,163 E. Pearson Street,CHICAGO,IL,60611,(312) 742-8811,http://www.chipublib.org/locations/171,,
West Belmont,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,3104 N. Narragansett Avenue,CHICAGO,IL,60634,(312) 746-5142,http://www.chipublib.org/locations/83,,
West Chicago Avenue,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,4856 W. Chicago Avenue,CHICAGO,IL,60651,(312) 743-0260,http://www.chipublib.org/locations/139,,
West Englewood,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,1745 W. 63rd Street,CHICAGO,IL,60636,(312) 747-3481,http://www.chipublib.org/locations/135,,
West Lawn,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,4020 W. 63rd Street,CHICAGO,IL,60629,(312) 747-7381,http://www.chipublib.org/locations/84,,
West Pullman,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,830 W. 119th Street,CHICAGO,IL,60643,(312) 747-1425,http://www.chipublib.org/locations/136,,
West Town,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,1625 W. Chicago Avenue,CHICAGO,IL,60622,(312) 743-0450,http://www.chipublib.org/locations/170,,
Whitney M. Young; Jr.,M; W: 10AM-6PM|  TU; TH: 12PM-8PM| F; SA: 9AM-5PM| SU: Closed,Yes,Yes,7901 S. King Drive,CHICAGO,IL,60619,(312) 747-0039,http://www.chipublib.org/locations/89,,
Woodson Regional,M-TH: 9AM-9PM| F; SA: 9AM-5PM| SU: 1PM-5PM,Yes,Yes,9525 S. Halsted Street,CHICAGO,IL,60628,(312) 747-6900,http://www.chipublib.org/locations/98,,
Wrightwood-Ashburn,M; W: 12PM-8PM| TU; TH: 10AM-6PM| F; SA: 9AM-5PM| SU: Closed,No,Yes,8530 S. Kedzie Avenue,CHICAGO,IL,60652,(312) 747-2696,http://www.chipublib.org/locations/90,,
